2025-04-28 19:25:42,612 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:27:42,687 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:34:15,930 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:36:35,481 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:37:05,356 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2025-04-28 19:37:05,356 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2025-04-28 19:37:18,152 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 19:37:18,153 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 19:38:22,364 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.11.12 (main, Apr  8 2025, 14:15:29) [Clang 16.0.0 (clang-1600.0.26.6)]
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-28 19:39:47,117 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-28 19:40:22,162 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-28 19:41:30,061 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
