2025-05-14 03:26:02,462 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:26:02,463 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:26:02,463 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:26:02,680 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:26:07,187 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:28:29,752 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:30:09,073 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:30:12,231 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:31:28,527 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:32:04,374 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:32:06,999 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:38:35,068 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 03:38:35,069 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 03:38:35,070 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 03:38:35,071 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 03:38:35,071 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 03:38:35,804 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-14 03:38:38,845 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-14 03:38:49,535 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 03:42:48,535 | MainThread   | [DEBUG   ] | <module>            |: debug
